,match_id,Tournament,P1,P2,Pt,Set1,Set2,Gm1,Gm2,Pts,SrvDceSide,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,RevTB,TBrev,rallyCount
7,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,8,0,0,1,0,0-15,1,2,1,0,,2,1,JMD,4 s39 f3 b1*,,,4s39f3b1*,,0,,4s39f3b1*,,1,,1,0,4,,s39f3b1*,False,False,True,False,False,False,s39f3b1,s39f3b1,sfb,3,1,0,0-30,0,1,0,0,0,0,,,4
13,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,14,0,0,1,1,15-0,1,3,1,0,,1,2,RF,4 b38 f3 b2 f2 f1 f1n#,,,4b38f3b2f2f1f1n#,,0,,4b38f3b2f2f1f1n#,,1,,1,0,4,,b38f3b2f2f1f1n#,False,False,False,True,False,False,b38f3b2f2f1f1n,b38f3b2f2f1f1,bfbfff,6,2,0,15-15,0,1,1,0,0,0,,,6
24,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,25,0,0,2,2,0-15,1,5,1,0,,1,2,RF,6 f29 f3 f3 b3 s+3 f3 z2*,,,6f29f3f3b3s+3f3z2*,,0,,6f29f3f3b3s+3f3z2*,,1,,1,0,6,,f29f3f3b3s+3f3z2*,False,False,True,False,False,False,f29f3f3b3s3f3z2,f29f3f3b3s3f3z2,fffbsfz,7,2,0,0-30,0,2,2,0,0,0,,,8
26,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,27,0,0,2,2,0-40,1,5,1,0,,1,2,RF,6 f18 f1n@,,,6f18f1n@,,0,,6f18f1n@,,1,,1,0,6,,f18f1n@,False,False,False,False,True,False,f18f1n,f18f1,ff,2,2,0,GM,2,2,3,0,0,0,,,2
32,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,33,0,0,2,3,40-30,1,6,1,0,,2,1,JMD,4 b38 f3 b1 r2 f+3 m2d#,,,4b38f3b1r2f+3m2d#,,0,,4b38f3b1r2f+3m2d#,,1,,1,0,4,,b38f3b1r2f+3m2d#,False,False,False,True,False,False,b38f3b1r2f3m2d,b38f3b1r2f3m2,bfbrfm,6,1,0,40-40,0,2,3,0,0,0,,,6
39,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,40,0,0,2,4,40-15,1,7,1,0,,1,2,RF,5 b28 f1x@,,,5b28f1x@,,0,,5b28f1x@,,1,,1,0,5,,b28f1x@,False,False,False,False,True,False,b28f1x,b28f1,bf,2,2,0,40-30,0,2,4,0,0,0,,,2
56,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,57,0,1,0,0,0-15,1,11,1,0,,1,2,RF,6 f29 f3 s2 f1w@,,,6f29f3s2f1w@,,0,,6f29f3s2f1w@,,1,,1,0,6,,f29f3s2f1w@,False,False,False,False,True,False,f29f3s2f1w,f29f3s2f1,ffsf,4,2,0,0-30,0,0,0,0,0,1,,,4
58,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,59,0,1,0,0,15-30,1,11,1,0,,1,2,RF,4 b39 b3 f3 s2 f1*,,,4b39b3f3s2f1*,,0,,4b39b3f3s2f1*,,1,,1,0,4,,b39b3f3s2f1*,False,False,True,False,False,False,b39b3f3s2f1,b39b3f3s2f1,bbfsf,5,2,0,15-40,0,0,0,0,0,1,,,6
64,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,65,0,1,1,0,15-0,1,12,1,0,,2,1,JMD,6 f28 f3y1 r2 m+2 t2 v3 s2 v1*,,,6f28f3y1r2m+2t2v3s2v1*,,0,,6f28f3y1r2m+2t2v3s2v1*,,1,,1,0,6,,f28f3y1r2m+2t2v3s2v1*,False,False,True,False,False,False,f28f3y1r2m2t2v3s2v1,f28f3y1r2m2t2v3s2v1,ffyrmtvsv,9,1,0,15-15,0,1,0,0,0,1,,,10
91,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,92,0,1,3,3,15-0,1,17,1,0,,1,2,RF,6 f17 f3x@,,,6f17f3x@,,0,,6f17f3x@,,1,,1,0,6,,f17f3x@,False,False,False,False,True,False,f17f3x,f17f3,ff,2,2,0,15-15,0,3,3,0,0,1,,,2
