,match_id,Tournament,P1,P2,Pt,Set1,Set2,Gm1,Gm2,Pts,SrvDceSide,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,RevTB,TBrev,rallyCount
11,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,12,0,0,1,0,40-30,1,2,1,0,,2,1,JMD,4 b18 f1 f3 b3 b1 f2 f1w@,,,4b18f1f3b3b1f2f1w@,,0,,4b18f1f3b3b1f2f1w@,,1,,1,0,4,,b18f1f3b3b1f2f1w@,False,False,False,False,True,False,b18f1f3b3b1f2f1w,b18f1f3b3b1f2f1,bffbbff,7,2,1,GM,2,1,1,0,0,0,,,7
17,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,18,0,0,1,1,40-30,1,3,1,0,,1,2,RF,6 f;28 f2 f3 s3 s3 f2 b2n@,,,6f;28f2f3s3s3f2b2n@,,0,,6f;28f2f3s3s3f2b2n@,,1,,1,0,6,,f;28f2f3s3s3f2b2n@,False,False,False,False,True,False,f28f2f3s3s3f2b2n,f28f2f3s3s3f2b2,fffssfb,7,1,1,GM,1,2,1,0,0,0,,,7
36,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,37,0,0,2,4,15-0,1,7,1,0,,1,2,RF,4+ s27 f1*,,,4+s27f1*,,1,,4s27f1*,,1,,1,0,4,,s27f1*,False,False,True,False,False,False,s27f1,s27f1,sf,2,1,1,30-0,0,2,4,0,0,0,,,3
52,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,53,0,0,4,5,15-0,1,10,1,0,,2,1,JMD,4 s38 f1 f1 f3 b2 b2 b2 f3*,,,4s38f1f1f3b2b2b2f3*,,0,,4s38f1f1f3b2b2b2f3*,,1,,1,0,4,,s38f1f1f3b2b2b2f3*,False,False,True,False,False,False,s38f1f1f3b2b2b2f3,s38f1f1f3b2b2b2f3,sfffbbbf,8,2,1,30-0,0,4,5,0,0,0,,,9
54,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,55,0,0,4,5,40-0,1,10,1,0,,2,1,JMD,4 s38 b1 f1w#,,,4s38b1f1w#,,0,,4s38b1f1w#,,1,,1,0,4,,s38b1f1w#,False,False,False,True,False,False,s38b1f1w,s38b1f1,sbf,3,2,1,GM,2,4,6,2,0,1,,,3
73,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,74,0,1,1,1,40-30,1,13,1,0,,1,2,RF,4+ s37 z3*,,,4+s37z3*,,1,,4s37z3*,,1,,1,0,4,,s37z3*,False,False,True,False,False,False,s37z3,s37z3,sz,2,1,1,GM,1,2,1,0,0,1,,,3
75,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,76,0,1,2,1,15-0,1,14,1,0,,2,1,JMD,4 s37 f3 s2n#,,,4s37f3s2n#,,0,,4s37f3s2n#,,1,,1,0,4,,s37f3s2n#,False,False,False,True,False,False,s37f3s2n,s37f3s2,sfs,3,2,1,30-0,0,2,1,0,0,1,,,3
83,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,84,0,1,2,2,40-30,1,15,1,0,,1,2,RF,5 f38 b3 b3w@,,,5f38b3b3w@,,0,,5f38b3b3w@,,1,,1,0,5,,f38b3b3w@,False,False,False,False,True,False,f38b3b3w,f38b3b3,fbb,3,1,1,GM,1,3,2,0,0,1,,,3
85,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,86,0,1,3,2,0-15,1,16,1,0,,2,1,JMD,6 f17 f2 b3w@,,,6f17f2b3w@,,0,,6f17f2b3w@,,1,,1,0,6,,f17f2b3w@,False,False,False,False,True,False,f17f2b3w,f17f2b3,ffb,3,2,1,15-15,0,3,2,0,0,1,,,3
87,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,88,0,1,3,2,15-30,1,16,1,0,,2,1,JMD,4 b38 f1*,,,4b38f1*,,0,,4b38f1*,,1,,1,0,4,,b38f1*,False,False,True,False,False,False,b38f1,b38f1,bf,2,2,1,30-30,0,3,2,0,0,1,,,3
