,match_id,Tournament,P1,P2,Pt,Set1,Set2,Gm1,Gm2,Pts,SrvDceSide,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,RevTB,TBrev,rallyCount
0,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,1,0,0,0,0,0-0,0,1,1,0,,1,2,RF,4 f27 f+3x@,,,4f27f+3x@,,0,,4f27f+3x@,,1,,1,0,4,,f27f+3x@,False,False,False,False,True,False,f27f3x,f27f3,ff,2,2,0,0-15,0,0,0,0,0,0,,,2
6,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,7,0,0,1,0,0-0,0,2,1,0,,2,1,JMD,6 b27 f1n@,,,6b27f1n@,,0,,6b27f1n@,,1,,1,0,6,,b27f1n@,False,False,False,False,True,False,b27f1n,b27f1,bf,2,1,0,0-15,0,1,0,0,0,0,,,2
27,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,28,0,0,2,3,0-0,0,6,1,0,,2,1,JMD,6 b18 f1 f1 f1w#,,,6b18f1f1f1w#,,0,,6b18f1f1f1w#,,1,,1,0,6,,b18f1f1f1w#,False,False,False,True,False,False,b18f1f1f1w,b18f1f1f1,bfff,4,1,0,0-15,0,2,3,0,0,0,,,4
37,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,38,0,0,2,4,30-0,0,7,1,0,,1,2,RF,5+ b37 i1 f-1*,,,5+b37i1f-1*,,1,,5b37i1f-1*,,1,,1,0,5,,b37i1f-1*,False,False,True,False,False,False,b37i1f1,b37i1f1,bif,3,2,0,30-15,0,2,4,0,0,0,,,4
70,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,71,0,1,1,1,30-0,0,13,1,0,,1,2,RF,6 s;27 f+1d@,,,6s;27f+1d@,,0,,6s;27f+1d@,,1,,1,0,6,,s;27f+1d@,False,False,False,False,True,False,s27f1d,s27f1,sf,2,2,0,30-15,0,1,1,0,0,1,,,2
95,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,96,0,1,4,3,0-0,0,18,1,0,,2,1,JMD,5 s38 s3 s1 f1 f3 b2 s3 s3 b3 b2 f2 b2 f1 f1 f1 f2d@,,,5s38s3s1f1f3b2s3s3b3b2f2b2f1f1f1f2d@,,0,,5s38s3s1f1f3b2s3s3b3b2f2b2f1f1f1f2d@,,1,,1,0,5,,s38s3s1f1f3b2s3s3b3b2f2b2f1f1f1f2d@,False,False,False,False,True,False,s38s3s1f1f3b2s3s3b3b2f2b2f1f1f1f2d,s38s3s1f1f3b2s3s3b3b2f2b2f1f1f1f2,sssffbssbbfbffff,16,1,0,0-15,0,4,3,0,0,1,,,16
107,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,108,0,1,5,4,0-0,0,20,1,0,,2,1,JMD,6 b28 f1 f3 b1 r2 s+1 f3*,,,6b28f1f3b1r2s+1f3*,,0,,6b28f1f3b1r2s+1f3*,,1,,1,0,6,,b28f1f3b1r2s+1f3*,False,False,True,False,False,False,b28f1f3b1r2s1f3,b28f1f3b1r2s1f3,bffbrsf,7,1,0,0-15,0,5,4,0,0,1,,,8
109,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,110,0,1,5,4,15-15,0,20,1,0,,2,1,JMD,5 b29 f1 f+1 f2 z3*,,,5b29f1f+1f2z3*,,0,,5b29f1f+1f2z3*,,1,,1,0,5,,b29f1f+1f2z3*,False,False,True,False,False,False,b29f1f1f2z3,b29f1f1f2z3,bfffz,5,1,0,15-30,0,5,4,0,0,1,,,6
127,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,146,1,1,0,0,0-0,0,24,1,0,,2,1,JMD,4 f39 s3d#,,,4f39s3d#,,0,,4f39s3d#,,1,,1,0,4,,f39s3d#,False,False,False,True,False,False,f39s3d,f39s3,fs,2,1,0,0-15,0,0,0,0,1,1,,,2
145,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,164,1,1,1,1,30-0,0,26,1,0,,2,1,JMD,4 f38 b2 b;2 f2d@,,,4f38b2b;2f2d@,,0,,4f38b2b;2f2d@,,1,,1,0,4,,f38b2b;2f2d@,False,False,False,False,True,False,f38b2b2f2d,f38b2b2f2,fbbf,4,1,0,30-15,0,1,1,0,1,1,,,4
171,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,190,1,1,3,4,30-0,0,31,1,0,,1,2,RF,4 f18 f3d#,,,4f18f3d#,,0,,4f18f3d#,,1,,1,0,4,,f18f3d#,False,False,False,True,False,False,f18f3d,f18f3,ff,2,2,0,30-15,0,3,4,0,1,1,,,2
