,match_id,Tournament,P1,P2,Pt,Set1,Set2,Gm1,Gm2,Pts,SrvDceSide,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,RevTB,TBrev,rallyCount
8,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,9,0,0,1,0,0-30,0,2,1,0,,2,1,JMD,c5 b17 f+3 b2 z3 b1 v3 b1n#,,,5b17f+3b2z3b1v3b1n#,,0,,5b17f+3b2z3b1v3b1n#,,1,,1,0,5,,b17f+3b2z3b1v3b1n#,False,False,False,True,False,False,b17f3b2z3b1v3b1n,b17f3b2z3b1v3b1,bfbzbvb,7,2,1,15-30,0,1,0,0,0,0,,,7
33,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,34,0,0,2,3,40-40,0,6,1,0,,2,1,JMD,6 s27 f1*,,,6s27f1*,,0,,6s27f1*,,1,,1,0,6,,s27f1*,False,False,True,False,False,False,s27f1,s27f1,sf,2,2,1,AD-40,0,2,3,0,0,0,,,3
41,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,42,0,0,2,4,40-40,0,7,1,0,,1,2,RF,4 f18 f2 s2 b2 f1 f3 s2 f1 f2 f+3*,,,4f18f2s2b2f1f3s2f1f2f+3*,,0,,4f18f2s2b2f1f3s2f1f2f+3*,,1,,1,0,4,,f18f2s2b2f1f3s2f1f2f+3*,False,False,True,False,False,False,f18f2s2b2f1f3s2f1f2f3,f18f2s2b2f1f3s2f1f2f3,ffsbffsfff,10,1,1,AD-40,0,2,4,0,0,0,,,11
47,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,48,0,0,3,5,0-0,0,9,1,0,,1,2,RF,4 f18 f2 s2 f+3 m2d#,,,4f18f2s2f+3m2d#,,0,,4f18f2s2f+3m2d#,,1,,1,0,4,,f18f2s2f+3m2d#,False,False,False,True,False,False,f18f2s2f3m2d,f18f2s2f3m2,ffsfm,5,1,1,15-0,0,3,5,0,0,0,,,5
51,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,52,0,0,4,5,0-0,0,10,1,0,,2,1,JMD,6 b28 f2 f2 f1 f2d#,,,6b28f2f2f1f2d#,,0,,6b28f2f2f1f2d#,,1,,1,0,6,,b28f2f2f1f2d#,False,False,False,True,False,False,b28f2f2f1f2d,b28f2f2f1f2,bffff,5,2,1,15-0,0,4,5,0,0,0,,,5
57,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,58,0,1,0,0,0-30,0,11,1,0,,1,2,RF,4 f17 r3*,,,4f17r3*,,0,,4f17r3*,,1,,1,0,4,,f17r3*,False,False,True,False,False,False,f17r3,f17r3,fr,2,1,1,15-30,0,0,0,0,0,1,,,3
61,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,62,0,1,0,0,40-40,0,11,1,0,,1,2,RF,5 b29 f1 f2 f1*,,,5b29f1f2f1*,,0,,5b29f1f2f1*,,1,,1,0,5,,b29f1f2f1*,False,False,True,False,False,False,b29f1f2f1,b29f1f2f1,bfff,4,1,1,AD-40,0,0,0,0,0,1,,,5
65,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,66,0,1,1,0,15-15,0,12,1,0,,2,1,JMD,5 s28 f1 f3w#,,,5s28f1f3w#,,0,,5s28f1f3w#,,1,,1,0,5,,s28f1f3w#,False,False,False,True,False,False,s28f1f3w,s28f1f3,sff,3,2,1,30-15,0,1,0,0,0,1,,,3
88,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,89,0,1,3,2,30-30,0,16,1,0,,2,1,JMD,5 b29 f3 b1 f1 f2 b3 b3 s1 f1 f3y3 s3 b2 z1*,,,5b29f3b1f1f2b3b3s1f1f3y3s3b2z1*,,0,,5b29f3b1f1f2b3b3s1f1f3y3s3b2z1*,,1,,1,0,5,,b29f3b1f1f2b3b3s1f1f3y3s3b2z1*,False,False,True,False,False,False,b29f3b1f1f2b3b3s1f1f3y3s3b2z1,b29f3b1f1f2b3b3s1f1f3y3s3b2z1,bfbffbbsffysbz,14,2,1,40-30,0,3,2,0,0,1,,,15
90,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,91,0,1,3,3,0-0,0,17,1,0,,1,2,RF,6 s28 f2 f2 f+3 s2 v3 s1w#,,,6s28f2f2f+3s2v3s1w#,,0,,6s28f2f2f+3s2v3s1w#,,1,,1,0,6,,s28f2f2f+3s2v3s1w#,False,False,False,True,False,False,s28f2f2f3s2v3s1w,s28f2f2f3s2v3s1,sfffsvs,7,1,1,15-0,0,3,3,0,0,1,,,7
103,20180318,Indian_Wells_Masters,Roger_Federer,Juan_Martin_Del_Potro,104,0,1,4,4,15-15,0,19,1,0,,1,2,RF,4 f28 f1 f1 f1 f1n@,,,4f28f1f1f1f1n@,,0,,4f28f1f1f1f1n@,,1,,1,0,4,,f28f1f1f1f1n@,False,False,False,False,True,False,f28f1f1f1f1n,f28f1f1f1f1,fffff,5,1,1,30-15,0,4,4,0,0,1,,,5
