,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,SrvDueceSide,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,RevTB,TBrev,rallyCount
7,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,8,0,0,1,0,15-15,TRUE,2,1,0,,2,1,AR,5 s2d#,,,5s2d#,,0,,5s2d#,,1,,1,0,5,,s2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s2d,s2,s,1,2,1,30-15,0,1,0,0,0,0,,,1
9,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,10,0,0,1,0,30-30,TRUE,2,1,0,,2,1,AR,5 s28 f+3 b2 z3 b2 v2 r3x#,,,5s28f+3b2z3b2v2r3x#,,0,,5s28f+3b2z3b2v2r3x#,,1,,1,0,5,,s28f+3b2z3b2v2r3x#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s28f3b2z3b2v2r3x,s28f3b2z3b2v2r3,sfbzbvr,7,2,1,40-30,0,1,0,0,0,0,,,7
11,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,12,0,0,1,0,40-40,TRUE,2,1,0,,2,1,AR,4 f27 f+3 b1 v1*,,,4f27f+3b1v1*,,0,,4f27f+3b1v1*,,1,,1,0,4,,f27f+3b1v1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f27f3b1v1,f27f3b1v1,ffbv,4,2,1,AD-40,0,1,0,0,0,0,,,5
19,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,20,0,0,2,1,30-0,TRUE,4,1,0,,2,1,AR,5 s29 f1 f1n@,,,5s29f1f1n@,,0,,5s29f1f1n@,,1,,1,0,5,,s29f1f1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s29f1f1n,s29f1f1,sff,3,2,1,40-0,0,2,1,0,0,0,,,3
26,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,27,0,0,3,2,0-0,TRUE,6,1,0,,2,1,AR,4+ f#,,,4+f#,,1,,4f#,,1,,1,0,4,,f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f,f,f,1,2,1,15-0,0,3,2,0,0,0,,,1
28,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,29,0,0,3,2,15-15,TRUE,6,1,0,,2,1,AR,4+*,,,4+*,,1,,4*,,1,,0,0,4+*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,30-15,0,3,2,0,0,0,,,1
30,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,31,0,0,3,2,40-15,TRUE,6,1,0,,2,1,AR,5 b2n#,,,5b2n#,,0,,5b2n#,,1,,1,0,5,,b2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b2n,b2,b,1,2,1,GM,2,3,3,0,0,0,,,1
37,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,38,0,0,4,3,0-0,TRUE,8,1,0,,2,1,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,15-0,0,4,3,0,0,0,,,1
39,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,40,0,0,4,3,15-15,TRUE,8,1,0,,2,1,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,30-15,0,4,3,0,0,0,,,1
41,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,42,0,0,4,3,40-15,TRUE,8,1,0,,2,1,AR,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,GM,2,4,4,0,0,0,,,1
46,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,47,0,0,5,4,0-0,TRUE,10,1,0,,2,1,AR,6 s28 f1 f3n@,,,6s28f1f3n@,,0,,6s28f1f3n@,,1,,1,0,6,,s28f1f3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s28f1f3n,s28f1f3,sff,3,2,1,15-0,0,5,4,0,0,0,,,3
52,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,53,0,0,5,4,40-40,TRUE,10,1,0,,2,1,AR,5 s#,,,5s#,,0,,5s#,,1,,1,0,5,,s#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s,s,s,1,2,1,AD-40,0,5,4,0,0,0,,,1
61,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,62,0,0,6,5,15-15,TRUE,12,1,0,,2,1,AR,4 f2d#,,,4f2d#,,0,,4f2d#,,1,,1,0,4,,f2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f2d,f2,f,1,2,1,30-15,0,6,5,0,0,0,,,1
76,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,77,1,0,0,0,0-0,TRUE,14,1,0,,2,1,AR,4 f2n#,,,4f2n#,,0,,4f2n#,,1,,1,0,4,,f2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f2n,f2,f,1,2,1,15-0,0,0,0,0,1,0,,,1
78,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,79,1,0,0,0,30-0,TRUE,14,1,0,,2,1,AR,4 f2d#,,,4f2d#,,0,,4f2d#,,1,,1,0,4,,f2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f2d,f2,f,1,2,1,40-0,0,0,0,0,1,0,,,1
86,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,87,1,0,1,1,30-0,TRUE,16,1,0,,2,1,AR,6 s27 f-3*,,,6s27f-3*,,0,,6s27f-3*,,1,,1,0,6,,s27f-3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s27f3,s27f3,sf,2,2,1,40-0,0,1,1,0,1,0,,,3
94,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,95,1,0,2,2,0-0,TRUE,18,1,0,,2,1,AR,4 f38 b2 b-1*,,,4f38b2b-1*,,0,,4f38b2b-1*,,1,,1,0,4,,f38b2b-1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f38b2b1,f38b2b1,fbb,3,1,0,0-15,0,2,2,0,1,0,,,4
96,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,97,1,0,2,2,15-15,TRUE,18,1,0,,2,1,AR,4*,,,4*,,0,,4*,,1,,0,0,4*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,30-15,0,2,2,0,1,0,,,1
98,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,99,1,0,2,2,40-15,TRUE,18,1,0,,2,1,AR,4 f#,,,4f#,,0,,4f#,,1,,1,0,4,,f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f,f,f,1,2,1,GM,2,2,3,0,1,0,,,1
103,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,104,1,0,3,3,0-0,TRUE,20,1,0,,2,1,AR,6 s#,,,6s#,,0,,6s#,,1,,1,0,6,,s#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s,s,s,1,2,1,15-0,0,3,3,0,1,0,,,1
105,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,106,1,0,3,3,15-15,TRUE,20,1,0,,2,1,AR,5 b3w#,,,5b3w#,,0,,5b3w#,,1,,1,0,5,,b3w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b3w,b3,b,1,2,1,30-15,0,3,3,0,1,0,,,1
107,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,108,1,0,3,3,30-30,TRUE,20,1,0,,2,1,AR,6 b#,,,6b#,,0,,6b#,,1,,1,0,6,,b#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b,b,b,1,2,1,40-30,0,3,3,0,1,0,,,1
119,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,120,1,0,4,4,0-0,TRUE,22,1,0,,2,1,AR,5 s2n#,,,5s2n#,,0,,5s2n#,,1,,1,0,5,,s2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s2n,s2,s,1,2,1,15-0,0,4,4,0,1,0,,,1
121,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,122,1,0,4,4,30-0,TRUE,22,1,0,,2,1,AR,4 f28 f+3 s1n#,,,4f28f+3s1n#,,0,,4f28f+3s1n#,,1,,1,0,4,,f28f+3s1n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f28f3s1n,f28f3s1,ffs,3,2,1,40-0,0,4,4,0,1,0,,,3
129,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,130,1,0,5,5,0-0,TRUE,24,1,0,,2,1,AR,4 r27 f+1 f1 v3 s1d#,,,4r27f+1f1v3s1d#,,0,,4r27f+1f1v3s1d#,,1,,1,0,4,,r27f+1f1v3s1d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,r27f1f1v3s1d,r27f1f1v3s1,rffvs,5,2,1,15-0,0,5,5,0,1,0,,,5
131,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,132,1,0,5,5,15-15,TRUE,24,1,0,,2,1,AR,6 s38 b3 s3 b1 f1d@,,,6s38b3s3b1f1d@,,0,,6s38b3s3b1f1d@,,1,,1,0,6,,s38b3s3b1f1d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s38b3s3b1f1d,s38b3s3b1f1,sbsbf,5,2,1,30-15,0,5,5,0,1,0,,,5
133,20070905-M-US_Open-QF-Roger_Federer-Andy_Roddick,134,1,0,5,5,30-30,TRUE,24,1,0,,2,1,AR,4*,,,4*,,0,,4*,,1,,0,0,4*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,40-30,0,5,5,0,1,0,,,1
